Time,SwivelPower,SwivelPower,SwivelPower,SwivelPower,SwivelPower,SwivelPower,SwivelPower,SwivelPower,MinAngle,MinAngle,MinAngle,MinAngle,MinAngle,MinAngle,MinAngle,MinAngle,CatchSlip,CatchSlip,CatchSlip,CatchSlip,CatchSlip,CatchSlip,CatchSlip,CatchSlip,MaxAngle,MaxAngle,MaxAngle,MaxAngle,MaxAngle,MaxAngle,MaxAngle,MaxAngle,FinishSlip,FinishSlip,FinishSlip,FinishSlip,FinishSlip,FinishSlip,FinishSlip,FinishSlip,Drive Start T,Drive Start T,Drive Start T,Drive Start T,Drive Start T,Drive Start T,Drive Start T,Drive Start T,Rower Swivel Power,Rower Swivel Power,Rower Swivel Power,Rower Swivel Power,Rower Swivel Power,Rower Swivel Power,Rower Swivel Power,Rower Swivel Power,Drive Time,Drive Time,Drive Time,Drive Time,Drive Time,Drive Time,Drive Time,Drive Time,Recovery Time,Recovery Time,Recovery Time,Recovery Time,Recovery Time,Recovery Time,Recovery Time,Recovery Time,Angle Max F,Angle Max F,Angle Max F,Angle Max F,Angle Max F,Angle Max F,Angle Max F,Angle Max F,Angle 0.7 F,Angle 0.7 F,Angle 0.7 F,Angle 0.7 F,Angle 0.7 F,Angle 0.7 F,Angle 0.7 F,Angle 0.7 F,Work PC Q1,Work PC Q1,Work PC Q1,Work PC Q1,Work PC Q1,Work PC Q1,Work PC Q1,Work PC Q1,Work PC Q2,Work PC Q2,Work PC Q2,Work PC Q2,Work PC Q2,Work PC Q2,Work PC Q2,Work PC Q2,Work PC Q3,Work PC Q3,Work PC Q3,Work PC Q3,Work PC Q3,Work PC Q3,Work PC Q3,Work PC Q3,Work PC Q4,Work PC Q4,Work PC Q4,Work PC Q4,Work PC Q4,Work PC Q4,Work PC Q4,Work PC Q4,Max Force PC,Max Force PC,Max Force PC,Max Force PC,Max Force PC,Max Force PC,Max Force PC,Max Force PC,Rating,AvgBoatSpeed,StrokeNumber,Dist/Stroke,Average Power
,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,Boat,Boat,Boat,Boat,Boat
2941120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2936680,,26,,,,,,,,-42.375,,,,,,,,4.1875,,,,,,,,-25,,,,,,,,3.6875,,,,,,,,50,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,600,0,26
2942840,,96,,,,,,,-40.6875,-36.4375,-40.8125,-41.1875,-39.9375,-35.8125,-31.8125,-39.8125,5.6875,0.4375,2.6875,1.75,2.6875,3.1875,3.3125,1.125,27.625,30.875,30.375,30.1875,29.75,31.4375,31.75,37.3125,6.5625,8.875,6.3125,6.375,7.4375,3,6.125,4.9375,73,78,84,79,81,78,83,80,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,0,601,0,96
2944220,274,343,406,373,400,393,322,385,-29,-36.9375,-38.75,-39.125,-36.4375,-35.0625,-38.9375,-39,3.5,3.0625,1.4375,3.1875,1.9375,5.4375,1.875,5.8125,30.3125,28.875,29.625,32.3125,28.9375,30.1875,29.875,36.75,8.4375,7.0625,6.375,7.5,8.5625,3.0625,8.25,6.0625,46,51,54,51,51,51,52,51,274,343,406,373,400,393,322,385,0.839844,0.870117,0.889893,0.880127,0.840088,0.840088,0.900146,0.930176,,,,,,,,,-12,-14.3125,-27.6875,-14.1875,-11.9375,-7.28125,-28.8125,-22.9375,-19.707237,-26.223166,-33.007351,-29.148438,-29.554169,-25.316942,-33.632805,-28.491371,24.796686,22.858419,28.689934,22.972301,24.515099,18.777159,30.641769,25.897276,41.628517,41.925045,33.108814,41.249043,38.696133,35.334927,32.868568,36.219845,26.984369,27.296841,29.305441,27.688894,30.209154,32.015575,27.415653,28.137115,6.590426,7.919689,8.895813,8.089764,6.579613,13.87234,9.07401,9.745761,28.661749,34.377968,16.179159,34.908138,37.476097,42.57663,14.713897,21.20462,43,0.523438,602,0.726563,362
2945580,300,349,423,351,468,390,333,381,-35.5625,-41.25,-43.5625,-35.5,-42.0625,-38.75,-43.0625,-38.6875,3.0625,5.125,0.25,3.9375,2.1875,5.5,5.6875,6.5625,29.8125,29.625,29.625,31.8125,30.5,30.6875,30.4375,37.8125,11.5,10.375,7.375,8.4375,11.3125,4.4375,11.6875,7.75,45,46,49,46,48,48,48,46,300,349,423,351,468,390,333,381,0.779785,0.779785,0.769775,0.75,0.77002,0.780029,0.719971,0.809814,0.560059,0.560059,0.550049,0.560059,0.530029,0.5,0.560059,0.530029,-9.5,-16.75,-32.5,-8.28125,-27.3125,-22.6875,-26.4375,-16.9375,-26.316666,-29.00478,-38.447002,-24.271816,-34.369812,-29.049274,-33.754517,-26.309177,24.394497,21.161251,28.207857,22.39719,25.538067,21.454559,25.50247,23.892359,41.964333,42.525105,32.494148,43.817242,37.535801,35.181053,37.611668,42.855503,29.037058,27.162352,29.871031,27.749447,31.365845,30.72434,27.724339,24.417231,4.604108,9.151288,9.426967,6.036123,5.560285,12.640044,9.161522,8.834908,39.866154,34.567902,15.115287,40.436398,20.327305,23.132315,22.619047,28.431374,44,2.347656,603,3.195313,374
2946920,276,361,438,385,414,427,341,360,-39.625,-43.3125,-43.8125,-43.5625,-40.6875,-47.5625,-51.75,-43.625,5.4375,6.6875,1.375,5.5625,5.125,7.0625,10.4375,8.0625,30.0625,30.375,29.875,32.0625,30.8125,31.1875,29.875,38.0625,12.25,11.5625,7,10.75,10.75,4.5625,11.875,10.3125,43,43,47,45,45,46,46,44,276,361,438,385,414,427,341,360,0.840088,0.780029,0.790283,0.76001,0.699951,0.719971,0.73999,0.820068,0.52002,0.590088,0.499756,0.570068,0.560059,0.580078,0.560059,0.540039,-12.25,-14.3125,-29.3125,-13.25,-8.1875,-9.6875,-29.75,-24.375,-26.088314,-27.8046,-36.403126,-30.583916,-28.251301,-33.882706,-35.603748,-30.617701,21.287128,19.396887,28.024105,21.197641,18.752121,17.586344,17.766121,24.220058,44.217258,45.795212,35.169254,44.620548,40.530666,36.442142,41.196121,39.874321,29.662558,29.989233,28.683666,29.012684,33.733448,32.403336,30.523502,27.779194,4.833058,4.818664,8.122972,5.169126,6.98376,13.568181,10.514257,8.126423,39.282513,39.355385,19.677692,40.082645,45.454548,48.095238,26.952526,23.422054,44.5,3.050781,604,4.089844,375
2948280,223,349,407,356,438,410,338,368,-40.1875,-46.0625,-46.8125,-42.8125,-47.375,-49,-50.5625,-43.125,12.75,6.6875,3.375,4.25,3.875,7.0625,5.1875,8.625,29.5,30.375,29.625,31.8125,29.75,29.1875,28.25,38.5625,14.9375,13.875,6.9375,11.625,11.4375,4,10.125,9.8125,39,44,45,44,44,45,45,43,223,349,407,356,438,410,338,368,0.700195,0.730225,0.780029,0.75,0.720215,0.699951,0.75,0.76001,0.629883,0.619873,0.540039,0.570068,0.599854,0.600098,0.590088,0.580078,-10.8125,-15.0625,-32,-13.25,-10.5625,-27.75,-33.125,-21.8125,-20.493395,-32.155064,-37.855659,-31.08876,-37.673199,-34.423088,-39.600498,-29.800919,15.424058,20.486301,24.513416,22.275536,21.218714,16.568867,26.711487,21.193321,48.874741,45.659645,33.484276,43.077168,38.392174,36.874939,37.96349,42.681328,33.214439,30.668842,31.819361,29.323145,33.68557,33.050095,25.486645,28.465635,2.486756,3.185215,10.182951,5.324149,6.703541,13.506097,9.838376,7.659719,42.152466,40.556011,19.378576,39.614738,47.730957,26.666668,21.527777,26.090282,44,3.808594,605,5.183594,361
2949660,238,363,407,366,419,390,346,394,-43.125,-49.375,-44,-47.375,-46.5,-49.625,-53.9375,-46.6875,6.8125,6.0625,1.3125,5.3125,5.375,6.8125,11.8125,8.625,30.875,29.125,27.75,31.8125,29.5,27.625,31.1875,38.0625,14,11.375,4.5,10.5,11.25,3.25,12.625,8.4375,41,44,46,44,44,44,44,44,238,363,407,366,419,390,346,394,0.780029,0.77002,0.789795,0.73999,0.699951,0.699951,0.73999,0.820068,0.639893,0.629883,0.52002,0.629883,0.629883,0.639893,0.619873,0.569824,-14.625,-17.6875,-27.9375,-14.4375,-11.625,-11.5625,-30.1875,-25.625,-27.635965,-33.123611,-35.720818,-30.73271,-30.834015,-34.940247,-37.70763,-32.778202,21.707733,19.155867,25.334888,19.495712,17.800934,16.530802,16.69375,22.424698,43.974308,43.843929,36.668758,43.797585,41.738216,35.12368,41.80983,38.93576,30.236725,30.966187,28.919226,30.484682,34.69352,34.407463,30.743847,29.426003,4.08124,6.034014,9.077129,6.222019,5.767334,13.93805,10.752577,9.213539,38.513515,40.366241,23.096027,41.594318,45.888157,47.540985,27.900146,24.852507,43,4.019531,606,5.546875,365
2951020,224,336,412,361,423,383,334,350,-44,-48.1875,-49.5,-45.8125,-48.4375,-49,-52.4375,-45.5,9.4375,9.5,3.125,7.3125,6.0625,8.3125,12.4375,9.1875,30.3125,29.875,30.375,33.5625,29.75,28.0625,31.5,38.3125,13.0625,13,8.0625,11.8125,10.875,3.3125,14.125,9.4375,39,41,46,42,44,43,44,43,224,336,412,361,423,383,334,350,0.75,0.77002,0.800049,0.72998,0.73999,0.76001,0.719971,0.780029,0.620117,0.590088,0.51001,0.600098,0.570068,0.580078,0.610107,0.560059,-14.0625,-17.6875,-31.5,-13.25,-9.8125,-12.3125,-29.0625,-23.875,-26.625261,-31.912117,-38.792645,-27.427631,-35.747303,-35.040066,-36.137066,-30.969522,20.396704,17.684504,23.916321,18.618437,17.995455,16.498442,16.794392,22.129478,42.739304,45.747803,36.47295,46.608624,38.00666,36.148724,44.439461,41.450085,31.905598,31.82152,30.270666,28.986925,36.717068,34.644394,31.07217,28.927956,4.958397,4.746173,9.340064,5.786016,7.280815,12.708442,7.693987,7.492486,39.85025,39.217251,22.535212,41.023621,49.400478,46.039215,27.848101,25.801641,44,4.363281,607,5.9375,352
