Time,GateAngle,GateAngle,GateAngle,GateAngle,GateAngle,GateAngle,GateAngle,GateAngle,GateForceX,GateForceX,GateForceX,GateForceX,GateForceX,GateForceX,GateForceX,GateForceX,GateAngleVel,GateAngleVel,GateAngleVel,GateAngleVel,GateAngleVel,GateAngleVel,GateAngleVel,GateAngleVel,Speed,Distance,Accel,Roll Angle,Pitch Angle,Yaw Angle,Normalized Time
,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,Boat,Boat,Boat,Boat,Boat,Boat,Boat
2941120,-38.75,-36.1875,-39,-41.1875,-39.375,-35.3125,-31.5625,-39.25,-0.5625,0.375,11.75,2.5,-0.8125,0.875,2.25,0.375,2.604165,-1.874999,8.333326,0,2.083332,2.499998,13.854156,2.343748,0.023438,2635.320313,-0.164063,3.953125,0.171875,-0.03125,-11.290321
2941140,-38.75,-35.9375,-38.75,-41.1875,-39.375,-35.3125,-31.375,-39.5625,-0.1875,0.5625,13.3125,2.6875,-0.875,1.0625,2.6875,0.5625,2.343747,-1.874997,9.947903,0,5.416659,5.572909,18.541641,2.343747,0.015625,2635.320313,-0.382813,3.96875,0.171875,-0.03125,-10.967743
2941160,-38.75,-36.1875,-38.75,-41.1875,-39.375,-35.3125,-30.9375,-39.25,0.375,0.8125,17.3125,2.9375,-0.4375,1.3125,3.9375,0.8125,1.822913,-2.499995,12.760391,2.291662,10.364562,9.583314,23.22912,1.041665,0.003906,2635.320313,-0.660156,3.96875,0.1875,-0.015625,-10.645164
2941180,-38.75,-36.1875,-38.5,-41.1875,-39.375,-35.0625,-29.75,-39.25,0.8125,1.1875,24.1875,3.375,0.875,1.9375,6.875,1.4375,1.041665,-2.708328,15.520802,6.302071,15.416636,12.187475,28.124943,-1.093748,-0.015625,2635.320313,-1.121094,4.015625,0.203125,-0.015625,-10.322578
2941200,-38.75,-36.1875,-37.9375,-41.1875,-39.375,-34.75,-29.5625,-39.25,1.875,2.25,33.6875,4.1875,3.0625,2.8125,13.6875,2.25,5.416656,-2.499995,18.020798,9.166648,20.729124,14.218721,31.822853,-1.145831,-0.046875,2635.320313,-1.703125,4.046875,0.234375,-0.015625,-10
2941220,-38.75,-36.1875,-37.6875,-41.1875,-38.3125,-34.1875,-28.8125,-39.25,3.0625,2.625,43.8125,4.875,14,4.375,24.9375,3.0625,11.354144,-2.916661,19.791626,12.343725,26.093697,15.677052,32.916599,1.718747,-0.097656,2635.320313,-2.566406,4.078125,0.296875,-0.015625,-9.677422
2941240,-38.75,-36.4375,-37.1875,-40.5,-37.5,-33.625,-28.0625,-39.5625,3.9375,3.0625,54.8125,7.9375,25,5.6875,38.125,4.1875,16.30204,-0.416666,21.874943,16.510372,29.99992,16.093708,32.656162,5.520819,-0.15625,2635.320313,-3.039063,4.109375,0.34375,-0.015625,-9.354836
2941260,-38.75,-36.4375,-36.6875,-39.8125,-36.9375,-33.625,-27.375,-39.8125,3.25,5.5,63.875,14.8125,38,8.125,52.4375,6.4375,20.260363,2.708326,21.093695,19.999947,31.197834,16.30204,30.208254,12.135385,-0.195313,2635.320313,-2.164063,4.1875,0.390625,-0.015625,-9.032257
2941280,-37.125,-36.4375,-36.125,-39.8125,-36.1875,-33.375,-26.6875,-39.25,5.25,12,72.0625,22.75,50.4375,12.5,65.9375,16,22.552023,6.874982,19.322866,22.656191,30.31242,16.874956,29.479088,19.999947,-0.175781,2635.320313,0.75,4.234375,0.40625,-0.015625,-8.709679
2941300,-36.5625,-36.4375,-35.875,-39.375,-35.625,-33.0625,-26.25,-38.6875,9.5,20.875,77.6875,31.8125,66.3125,18.6875,75.75,31.6875,23.229105,12.916633,17.864536,24.062437,26.093681,18.020786,27.760344,27.083261,-0.144531,2635.320313,1.148438,4.265625,0.40625,-0.015625,-8.3871
