Time,GateAngle,GateAngle,GateAngle,GateAngle,GateAngle,GateAngle,GateAngle,GateAngle,GateForceX,GateForceX,GateForceX,GateForceX,GateForceX,GateForceX,GateForceX,GateForceX,GateAngleVel,GateAngleVel,GateAngleVel,GateAngleVel,GateAngleVel,GateAngleVel,GateAngleVel,GateAngleVel,Speed,Distance,Accel,Roll Angle,Pitch Angle,Yaw Angle,Normalized Time
,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,Boat,Boat,Boat,Boat,Boat,Boat,Boat
2944220,15.0625,9.9375,-1.6875,12.4375,4.4375,-1.9375,11.125,11.6875,-10.5625,-8.75,-4.3125,-11.8125,-7.5,-2.8125,-11,-11.4375,-168.489456,-163.801956,-166.510284,-172.968613,-170.208206,-164.114456,-186.510269,-192.135269,1.40625,2635.964844,3.753906,0.921875,-2.84375,0.25,-34.246574
2944240,11.4375,6.625,-4.75,8.25,0.75,-5.3125,7.25,7.5,-8.375,-8.125,-4.5,-10.75,-7.5,-2.375,-8.625,-11.625,-177.447784,-169.270706,-165.781113,-183.124863,-176.666534,-164.010284,-193.697769,-181.301941,1.546875,2636.046875,3.578125,0.828125,-2.90625,0.25,-32.876709
2944260,7.5,3,-8.0625,4.6875,-3.5625,-8.875,3.25,4.75,-5.9375,-7.5625,-4.75,-9.0625,-8.1875,-2.625,-6.25,-7.8125,-185.208191,-173.124863,-164.895706,-181.249863,-177.395691,-163.020706,-197.604019,-169.479034,1.675781,2636.132813,2.867188,0.796875,-2.984375,0.25,-31.506851
2944280,3.75,-0.6875,-11.75,0.75,-7.0625,-11.8125,-0.9375,1.125,-4.5625,-6.5,-4.75,-8.875,-5.75,-1.9375,-4.375,-9.375,-190.885269,-177.551941,-161.770706,-169.166534,-171.822784,-157.60405,-202.551926,-160.312378,1.789063,2636.214844,2.628906,0.75,-3.03125,0.25,-30.136986
2944300,-0.25,-4.625,-15.4375,-3.875,-10.0625,-14.625,-5.25,-2.5625,-2.9375,-5.5,-2.0625,-6.875,-6.5,-2.1875,-4.375,-5.3125,-196.093597,-180.051941,-155.364456,-156.1978,-166.822784,-156.35405,-210.260254,-152.187378,1.890625,2636.328125,1.925781,0.734375,-3.0625,0.25,-28.76712
2944320,-4,-7.9375,-18.0625,-6.1875,-13.5,-17.875,-9.6875,-4.5625,-1.9375,-3.875,-3.6875,-4.3125,-3.5,-1.9375,-4.0625,-2.4375,-198.333176,-180.416519,-148.281128,-145.520721,-156.249878,-151.926971,-209.166504,-148.22905,1.988281,2636.414063,2.109375,0.75,-3.078125,0.25,-27.397263
2944340,-8,-11.75,-20.8125,-8,-16.875,-20.6875,-13.1875,-7.625,-1.5625,-1.8125,-4.875,-4.6875,-3,-0.875,-3.5,-3.5625,-197.499847,-176.666534,-139.010315,-137.135315,-146.5103,-150.156128,-201.979004,-158.281128,2.109375,2636.496094,1.277344,0.8125,-3.109375,0.25,-26.027397
2944360,-12,-15.0625,-23.875,-10.125,-19.375,-23.875,-17.5625,-10.5625,0.1875,0.1875,-1.8125,-2.1875,-6.4375,0.1875,-1,-6.9375,-193.437225,-171.249756,-133.697723,-124.166489,-143.64563,-149.478958,-198.905975,-177.916412,2.171875,2636.582031,0.390625,0.921875,-3.125,0.25,-24.657532
2944380,-16.5,-18.625,-26,-12.5625,-22.25,-27.5,-22.9375,-12.8125,2.1875,1.3125,-7.625,-1.8125,-5.5625,1.3125,1,-7.8125,-184.999847,-168.593613,-130.833237,-123.541573,-142.551971,-140.676971,-195.468597,-192.864426,2.191406,2636.664063,-1.589844,1,-3.109375,0.25,-23.287674
2944400,-20.25,-22.3125,-28.375,-16,-24.25,-29.375,-25.5625,-16.6875,1.9375,1.125,-8.25,-0.4375,-6.1875,1.3125,0.375,-5.5,-171.353928,-170.156006,-132.968567,-135.103973,-144.73938,-124.166489,-181.093491,-195.208054,2.195313,2636.777344,-2.375,1.09375,-3.078125,0.25,-21.917809
2944420,-23.625,-25,-30.5625,-18.5625,-27.0625,-32.8125,-28.0625,-22.75,2.1875,-0.1875,-8.25,0.375,-4.25,3.125,0.1875,-3.0625,-154.687286,-162.760193,-135.728973,-143.593552,-141.093552,-104.947769,-158.593521,-188.072647,2.164063,2636.859375,-4.011719,1.1875,-3.015625,0.25,-20.547943
